company_id,person_id,match_type,score
94631,11697774,Exact,1.0
94631,11697774,Exact,1.0
94631,11697774,Exact,1.0
94631,11697774,Exact,1.0
94631,11697774,Exact,1.0
94631,11697774,Exact,1.0
94631,11697774,Exact,1.0
94631,11697774,Exact,1.0
94631,11697774,Exact,1.0
94631,11697774,Exact,1.0
94631,11697774,Exact,1.0
94631,11697774,Exact,1.0
94631,11697774,Exact,1.0
94631,11697774,Exact,1.0
94631,11697774,Exact,1.0
94631,11697774,Exact,1.0
94631,11697774,Exact,1.0
94650,8480884,Exact,1.0
94661,50007214,Exact,1.0
94672,48414597,Exact,1.0
94672,55762624,Exact,1.0
94742,55938949,Exact,1.0
94742,48452890,Exact,1.0
94742,4315361,Exact,1.0
94795,55933013,Exact,1.0
94795,55933013,Exact,1.0
94795,55933013,Exact,1.0
94795,55933013,Exact,1.0
94795,55933013,Exact,1.0
94795,55933013,Exact,1.0
94795,55933013,Exact,1.0
94795,55933013,Exact,1.0
94795,55933013,Exact,1.0
94795,55933013,Exact,1.0
94795,55933013,Exact,1.0
94795,55933013,Exact,1.0
94795,55933013,Exact,1.0
94795,55933013,Exact,1.0
94795,55933013,Exact,1.0
94795,55933013,Exact,1.0
94795,55933013,Exact,1.0
94803,72354736,Exact,1.0
94803,7876780,Exact,1.0
94871,58085625,Exact,1.0
94872,54640204,Exact,1.0
94872,54640204,Exact,1.0
94872,54640204,Exact,1.0
94884,51547030,Exact,1.0
94884,51547030,Exact,1.0
94931,81795980,Exact,1.0
94931,81859158,Exact,1.0
94957,10479461,Exact,1.0
95095,51508098,Exact,1.0
95215,5233284,Exact,1.0
95215,5233284,Exact,1.0
95215,5233284,Exact,1.0
95215,5233284,Exact,1.0
95215,5233284,Exact,1.0
95215,5233284,Exact,1.0
95215,5233284,Exact,1.0
95215,5233284,Exact,1.0
95215,5233284,Exact,1.0
95215,5233284,Exact,1.0
95215,5233284,Exact,1.0
95215,5233284,Exact,1.0
95215,5233284,Exact,1.0
95215,5233284,Exact,1.0
95215,5233284,Exact,1.0
95215,5233284,Exact,1.0
95215,5233284,Exact,1.0
95215,5233284,Exact,1.0
95215,5233284,Exact,1.0
95215,5233284,Exact,1.0
95215,5233284,Exact,1.0
95215,5233284,Exact,1.0
95215,5233284,Exact,1.0
95215,5233284,Exact,1.0
95215,5233284,Exact,1.0
95215,5233284,Exact,1.0
95215,5233284,Exact,1.0
95216,57917832,Exact,1.0
95216,57917832,Exact,1.0
95216,57917832,Exact,1.0
95274,6839315,Exact,1.0
95274,6839315,Exact,1.0
95274,45227390,Exact,1.0
95370,10379572,Exact,1.0
95434,9679068,Exact,1.0
95531,72395320,Exact,1.0
95582,86184719,Exact,1.0
95598,83665286,Exact,1.0
95598,83665286,Exact,1.0
95598,83628091,Exact,1.0
95598,83628091,Exact,1.0
95604,48436804,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
95605,56920668,Exact,1.0
